scenario_id,scenario_name,scenario_description,scenario_hook,turning_point,round_number,driver_code,actual_cumulative_points,alt_cumulative_points,delta,actual_championship_prob,alt_championship_prob,p_incident
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,1,NOR,25.0,25.0,0.0,1.0,1.0,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,1,VER,18.0,18.0,0.0,0.0,0.0,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,1,PIA,2.0,2.0,0.0,0.0,0.0,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,2,NOR,43.0,43.0,0.0,0.0,0.0,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,2,VER,30.0,30.0,0.0,0.00178,0.00178,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,2,PIA,27.0,27.0,0.0,0.99822,0.99822,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,3,NOR,61.0,61.0,0.0,0.7675,0.7675,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,3,VER,55.0,55.0,0.0,0.02174,0.02174,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,3,PIA,42.0,42.0,0.0,0.21076,0.21076,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,4,NOR,76.0,76.0,0.0,0.0,0.0,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,4,VER,63.0,63.0,0.0,1.0,1.0,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,4,PIA,67.0,67.0,0.0,0.0,0.0,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,5,NOR,88.0,88.0,0.0,0.99994,0.99994,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,5,VER,81.0,81.0,0.0,0.0,0.0,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,5,PIA,92.0,92.0,0.0,6e-05,6e-05,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,6,NOR,106.0,106.0,0.0,1.0,1.0,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,6,VER,93.0,93.0,0.0,0.0,0.0,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,6,PIA,117.0,117.0,0.0,0.0,0.0,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,7,NOR,124.0,124.0,0.0,0.5659,0.5659,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,7,VER,118.0,118.0,0.0,0.0069,0.0069,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,7,PIA,132.0,132.0,0.0,0.4272,0.4272,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,8,NOR,149.0,149.0,0.0,0.00132,0.00132,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,8,VER,130.0,130.0,0.0,0.64344,0.64344,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,8,PIA,147.0,147.0,0.0,0.35524,0.35524,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,9,NOR,167.0,167.0,0.0,0.81102,0.81102,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,9,VER,131.0,131.0,0.0,0.05312,0.05312,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,9,PIA,172.0,172.0,0.0,0.13586,0.13586,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,10,NOR,167.0,167.0,0.0,0.99838,0.99838,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,10,VER,149.0,149.0,0.0,0.0,0.0,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,10,PIA,184.0,184.0,0.0,0.00162,0.00162,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,11,NOR,192.0,192.0,0.0,0.99982,0.99982,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,11,VER,149.0,149.0,0.0,0.0,0.0,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,11,PIA,202.0,202.0,0.0,0.00018,0.00018,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,12,NOR,217.0,217.0,0.0,0.49306,0.49306,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,12,VER,159.0,159.0,0.0,0.0,0.0,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,12,PIA,220.0,220.0,0.0,0.50694,0.50694,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,13,NOR,235.0,235.0,0.0,0.279,0.279,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,13,VER,171.0,171.0,0.0,0.0,0.0,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,13,PIA,245.0,245.0,0.0,0.721,0.721,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,14,NOR,260.0,253.0,-7.0,0.14072,0.092,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,14,VER,173.0,196.0,23.0,0.0,0.00015,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,14,PIA,263.0,263.0,0.0,0.85928,0.90785,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,15,NOR,260.0,253.0,-7.0,0.9037,0.84985,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,15,VER,191.0,214.0,23.0,0.0,0.0,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,15,PIA,288.0,288.0,0.0,0.0963,0.15015,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,16,NOR,278.0,271.0,-7.0,0.92186,0.8418,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,16,VER,216.0,239.0,23.0,0.00026,0.02965,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,16,PIA,303.0,303.0,0.0,0.07788,0.12855,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,17,NOR,284.0,277.0,-7.0,0.0702,0.0342,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,17,VER,241.0,264.0,23.0,0.00936,0.11155,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,17,PIA,303.0,303.0,0.0,0.92044,0.85425,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,18,NOR,299.0,292.0,-7.0,0.9999,0.99595,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,18,VER,259.0,282.0,23.0,2e-05,0.00395,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,18,PIA,315.0,315.0,0.0,8e-05,0.0001,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,19,NOR,317.0,310.0,-7.0,0.99806,0.9524,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,19,VER,284.0,307.0,23.0,0.00056,0.04435,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,19,PIA,325.0,325.0,0.0,0.00138,0.00325,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,20,NOR,342.0,335.0,-7.0,0.9752,0.7284,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,20,VER,299.0,322.0,23.0,0.00078,0.23425,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,20,PIA,335.0,335.0,0.0,0.02402,0.03735,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,21,NOR,367.0,360.0,-7.0,0.99706,0.9244,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,21,VER,314.0,337.0,23.0,0.0,0.0679,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,21,PIA,345.0,345.0,0.0,0.00294,0.0077,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,22,NOR,367.0,360.0,-7.0,0.9993,0.869,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,22,VER,339.0,362.0,23.0,6e-05,0.1282,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,22,PIA,345.0,345.0,0.0,0.00064,0.0028,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,23,NOR,379.0,372.0,-7.0,0.9946,0.23665,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,23,VER,364.0,387.0,23.0,0.00204,0.7607,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,23,PIA,363.0,363.0,0.0,0.00336,0.00265,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,24,NOR,394.0,387.0,-7.0,1.0,0.0,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,24,VER,389.0,412.0,23.0,0.0,1.0,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,24,PIA,381.0,381.0,0.0,0.0,0.0,0.2025
mexico_ver,Mexico City Redemption,"Verstappen takes victory in Mexico City instead of Norris, cutting the gap to 26 points with 4 races remaining.",VER +17 pt swing,20,1,NOR,25.0,25.0,0.0,1.0,1.0,0.02
mexico_ver,Mexico City Redemption,"Verstappen takes victory in Mexico City instead of Norris, cutting the gap to 26 points with 4 races remaining.",VER +17 pt swing,20,1,VER,18.0,18.0,0.0,0.0,0.0,0.02
mexico_ver,Mexico City Redemption,"Verstappen takes victory in Mexico City instead of Norris, cutting the gap to 26 points with 4 races remaining.",VER +17 pt swing,20,1,PIA,2.0,2.0,0.0,0.0,0.0,0.02
mexico_ver,Mexico City Redemption,"Verstappen takes victory in Mexico City instead of Norris, cutting the gap to 26 points with 4 races remaining.",VER +17 pt swing,20,2,NOR,43.0,43.0,0.0,0.0,0.0,0.02
mexico_ver,Mexico City Redemption,"Verstappen takes victory in Mexico City instead of Norris, cutting the gap to 26 points with 4 races remaining.",VER +17 pt swing,20,2,VER,30.0,30.0,0.0,0.00178,0.00178,0.02
mexico_ver,Mexico City Redemption,"Verstappen takes victory in Mexico City instead of Norris, cutting the gap to 26 points with 4 races remaining.",VER +17 pt swing,20,2,PIA,27.0,27.0,0.0,0.99822,0.99822,0.02
mexico_ver,Mexico City Redemption,"Verstappen takes victory in Mexico City instead of Norris, cutting the gap to 26 points with 4 races remaining.",VER +17 pt swing,20,3,NOR,61.0,61.0,0.0,0.7675,0.7675,0.02
mexico_ver,Mexico City Redemption,"Verstappen takes victory in Mexico City instead of Norris, cutting the gap to 26 points with 4 races remaining.",VER +17 pt swing,20,3,VER,55.0,55.0,0.0,0.02174,0.02174,0.02
mexico_ver,Mexico City Redemption,"Verstappen takes victory in Mexico City instead of Norris, cutting the gap to 26 points with 4 races remaining.",VER +17 pt swing,20,3,PIA,42.0,42.0,0.0,0.21076,0.21076,0.02
mexico_ver,Mexico City Redemption,"Verstappen takes victory in Mexico City instead of Norris, cutting the gap to 26 points with 4 races remaining.",VER +17 pt swing,20,4,NOR,76.0,76.0,0.0,0.0,0.0,0.02
mexico_ver,Mexico City Redemption,"Verstappen takes victory in Mexico City instead of Norris, cutting the gap to 26 points with 4 races remaining.",VER +17 pt swing,20,4,VER,63.0,63.0,0.0,1.0,1.0,0.02
mexico_ver,Mexico City Redemption,"Verstappen takes victory in Mexico City instead of Norris, cutting the gap to 26 points with 4 races remaining.",VER +17 pt swing,20,4,PIA,67.0,67.0,0.0,0.0,0.0,0.02
mexico_ver,Mexico City Redemption,"Verstappen takes victory in Mexico City instead of Norris, cutting the gap to 26 points with 4 races remaining.",VER +17 pt swing,20,5,NOR,88.0,88.0,0.0,0.99994,0.99994,0.02
mexico_ver,Mexico City Redemption,"Verstappen takes victory in Mexico City instead of Norris, cutting the gap to 26 points with 4 races remaining.",VER +17 pt swing,20,5,VER,81.0,81.0,0.0,0.0,0.0,0.02
mexico_ver,Mexico City Redemption,"Verstappen takes victory in Mexico City instead of Norris, cutting the gap to 26 points with 4 races remaining.",VER +17 pt swing,20,5,PIA,92.0,92.0,0.0,6e-05,6e-05,0.02
mexico_ver,Mexico City Redemption,"Verstappen takes victory in Mexico City instead of Norris, cutting the gap to 26 points with 4 races remaining.",VER +17 pt swing,20,6,NOR,106.0,106.0,0.0,1.0,1.0,0.02
mexico_ver,Mexico City Redemption,"Verstappen takes victory in Mexico City instead of Norris, cutting the gap to 26 points with 4 races remaining.",VER +17 pt swing,20,6,VER,93.0,93.0,0.0,0.0,0.0,0.02
mexico_ver,Mexico City Redemption,"Verstappen takes victory in Mexico City instead of Norris, cutting the gap to 26 points with 4 races remaining.",VER +17 pt swing,20,6,PIA,117.0,117.0,0.0,0.0,0.0,0.02
mexico_ver,Mexico City Redemption,"Verstappen takes victory in Mexico City instead of Norris, cutting the gap to 26 points with 4 races remaining.",VER +17 pt swing,20,7,NOR,124.0,124.0,0.0,0.5659,0.5659,0.02
